AMRate,TrialType,Score,Latency,TrialStart,TrialEnd,FrameStart,FrameStop,Direction
5.26000022888184,Av,Correct,1096.7936,3.91983104,5.619712,120,221,Left
4,Vis,Correct,1154.58816,8.25061376,10.0087808,379,484,Left
5.26000022888184,Aud,Correct,522.65728,18.21618176,19.34196736,977,1044,Left
9.11999988555908,Av,Correct,553.70496,28.22520832,29.30778112,1578,1642,Right
5.26000022888184,Aud,Correct,1398.21824,31.8445568,33.81297152,1795,1912,Left
5.26000022888184,Vis,Correct,873.315839999999,36.25377792,37.71129856,2060,2146,Left
12,Aud,Correct,596.999679999999,39.61122816,40.78235648,2261,2330,Right
5.26000022888184,Vis,Correct,607.772159999999,42.6893312,43.9494656,2446,2520,Left
4,Vis,Correct,781.278719999999,45.95265536,47.33874176,2641,2724,Left
5.26000022888184,Aud,Correct,427.302399999998,51.32242944,52.35388416,2964,3025,Left
12,Av,Correct,209.10848,54.4008192,55.23931136,3148,3198,Right
12,Aud,Correct,464.739840000003,57.47126272,58.5353216,3333,3395,Right
5.26000022888184,Aud,Incorrect,796.67968,61.0689024,62.49525248,3548,3633,Right
4,Av,Correct,1178.59071999999,64.13074432,65.97566464,3732,3842,Left
9.11999988555908,Av,Correct,587.128319999994,68.04832256,69.22924032,3967,4037,Right
9.11999988555908,Av,Correct,1324.28544,71.57784576,73.49424128,4179,4293,Right
9.11999988555908,Av,Correct,502.791680000004,75.60306688,76.6595072,4420,4483,Right
12,Aud,Correct,546.823679999991,78.63427072,79.78795008,4602,4671,Right
5.26000022888184,Av,Correct,492.797440000007,81.76939008,82.87051776,4790,4855,Left
12,Av,Correct,443.27680000001,84.83418112,85.96291584,4974,5041,Right
5.26000022888184,Vis,Correct,824.860159999989,88.77244416,90.38278656,5211,5306,Left
5.26000022888184,Av,Correct,541.457920000002,92.58528768,94.23179776,5439,5537,Left
12,Aud,Correct,615.431680000003,96.31080448,97.8282496,5663,5753,Right
4,Aud,Correct,440.000000000001,100.0880128,101.38816512,5890,5967,Left
12,Aud,Correct,842.677760000004,103.33700096,105.17909504,6084,6194,Right
6.92000007629395,Aud,Catch,744.128000000006,107.26088704,108.78865408,6320,6411,Right
4,Av,Correct,536.911359999993,111.85876992,113.32644864,6596,6683,Left
4,Vis,Correct,684.162559999993,115.70327552,117.2045824,6826,6915,Left
12,Av,Correct,448.724479999998,119.9812608,121.41563904,7083,7168,Right
4,Vis,Correct,691.125759999994,124.63919104,126.19321344,7363,7455,Left
5.26000022888184,Av,Incorrect,220.863999999995,128.47960064,129.55611136,7593,7657,Right
5.26000022888184,Vis,Correct,694.975999999986,134.77187584,136.10426368,7970,8049,Left
9.11999988555908,Av,Correct,211.607040000007,138.72369664,139.58721536,8208,8258,Right
12,Aud,Correct,594.46016,142.21807616,143.40419584,8417,8487,Right
6.92000007629395,Av,Catch,940.65407999999,145.36024064,146.95878656,8606,8701,Right
12,Av,Correct,460.807680000005,149.1511296,150.30628352,8833,8902,Right
5.26000022888184,Av,Correct,538.14016,152.69797888,153.99882752,9046,9123,Left
6.92000007629395,Vis,Catch,675.069440000004,156.33055744,157.77542144,9264,9350,Left
5.26000022888184,Aud,Correct,590.077440000005,160.64995328,162.04288,9523,9606,Left
9.11999988555908,Aud,Correct,650.739199999992,167.89901312,169.15320832,9958,10032,Right
4,Aud,Correct,521.182720000002,171.1245312,172.28443648,10152,10220,Left
5.26000022888184,Av,Incorrect,127.680000000015,175.8339072,176.66494464,10434,10483,Right
5.26000022888184,Av,Correct,427.916800000008,179.40054016,180.40594432,10648,10707,Left
9.11999988555908,Av,Correct,195.919359999994,182.51771904,183.37316864,10835,10886,Right
12,Vis,Correct,865.697280000023,186.17491456,187.67818752,11055,11144,Right
4,Vis,Correct,609.369599999997,190.09380352,191.38875392,11290,11366,Left
4,Vis,Correct,596.221439999982,193.4721024,194.81645056,11492,11572,Left
12,Av,Correct,200.179199999997,197.75623168,198.95812096,11749,11821,Right
4,Av,Correct,489.029120000015,202.49858048,203.8685696,12034,12115,Left
4,Aud,Correct,331.415040000013,205.87225088,207.13459712,12236,12311,Left
4,Aud,Correct,546.577919999993,211.40897792,212.67603456,12569,12644,Left
4,Av,Correct,208.453120000019,215.5024384,216.69199872,12814,12885,Left
12,Aud,Correct,666.263040000007,222.76677632,224.01437696,13250,13324,Right
9.11999988555908,Vis,Incorrect,608.468479999988,226.04599296,227.32173312,13447,13522,Left
9.11999988555908,Vis,Incorrect,630.464000000006,228.91761664,230.17529344,13619,13694,Left
9.11999988555908,Vis,Correct,1617.14944000001,232.31725568,235.00435456,13823,13983,Right
6.92000007629395,Av,Catch,822.607360000023,237.32236288,238.75067904,14123,14208,Right
4,Av,Correct,487.636479999981,241.88567552,243.10226944,14397,14469,Left
4,Vis,Correct,675.601920000008,244.9874944,246.4055296,14583,14667,Left
4,Aud,Correct,365.616640000002,248.97769472,250.10638848,14823,14889,Left
12,Vis,Correct,698.580479999993,252.67675136,254.04678144,15045,15126,Right
9.11999988555908,Vis,Incorrect,1261.12511999996,256.45031424,258.47074816,15271,15391,Left
4,Aud,Correct,585.735680000016,260.37215232,261.71572224,15506,15586,Left
6.92000007629395,Vis,Catch,232.496639999954,264.74479616,265.84731648,15769,15834,Left
4,Vis,Incorrect,424.148480000031,270.88400384,272.03723264,16137,16205,Right
